*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
276.,36.232,8.69E-06,6.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.69E-06,6.62E-05,9.96E-04,0.00000
278.,35.971,8.76E-06,6.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-06,6.77E-05,1.01E-03,0.00000
280.,35.714,8.83E-06,6.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-06,6.93E-05,1.03E-03,0.00000
282.,35.461,8.91E-06,7.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.91E-06,7.08E-05,1.05E-03,0.00000
284.,35.211,8.98E-06,7.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.98E-06,7.24E-05,1.07E-03,0.00000
286.,34.965,9.05E-06,7.40E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E-06,7.40E-05,1.09E-03,0.00000
288.,34.722,9.12E-06,7.57E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.12E-06,7.57E-05,1.10E-03,0.00000
290.,34.483,9.19E-06,7.73E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.19E-06,7.73E-05,1.12E-03,0.00000
292.,34.247,9.26E-06,7.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.26E-06,7.90E-05,1.14E-03,0.00000
294.,34.014,9.33E-06,8.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.33E-06,8.06E-05,1.16E-03,0.00000
296.,33.784,9.40E-06,8.23E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.40E-06,8.23E-05,1.18E-03,0.00000
298.,33.557,9.47E-06,8.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-06,8.41E-05,1.20E-03,0.00000
300.,33.333,9.55E-06,8.59E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.55E-06,8.59E-05,1.22E-03,0.00000
302.,33.113,9.62E-06,8.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.62E-06,8.77E-05,1.23E-03,0.00000
304.,32.895,9.68E-06,8.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.68E-06,8.95E-05,1.25E-03,0.00000
306.,32.680,9.75E-06,9.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.75E-06,9.13E-05,1.27E-03,0.00000
308.,32.468,9.81E-06,9.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.81E-06,9.31E-05,1.29E-03,0.00000
310.,32.258,9.87E-06,9.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.87E-06,9.49E-05,1.31E-03,0.00000
312.,32.051,9.94E-06,9.68E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.94E-06,9.68E-05,1.33E-03,0.00000
314.,31.847,1.00E-05,9.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-05,9.87E-05,1.35E-03,0.00000
316.,31.646,1.01E-05,1.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.01E-04,1.37E-03,0.00000
318.,31.447,1.01E-05,1.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.03E-04,1.39E-03,0.00000
320.,31.250,1.02E-05,1.04E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.04E-04,1.41E-03,0.00000
322.,31.056,1.03E-05,1.07E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.07E-04,1.43E-03,0.00000
324.,30.864,1.03E-05,1.09E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.09E-04,1.46E-03,0.00000
326.,30.675,1.04E-05,1.11E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.11E-04,1.48E-03,0.00000
328.,30.488,1.05E-05,1.13E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.13E-04,1.50E-03,0.00000
330.,30.303,1.05E-05,1.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.15E-04,1.52E-03,0.00000
332.,30.120,1.06E-05,1.17E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-05,1.17E-04,1.54E-03,0.00000
334.,29.940,1.07E-05,1.19E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-05,1.19E-04,1.56E-03,0.00000
336.,29.762,1.07E-05,1.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-05,1.21E-04,1.58E-03,0.00000
338.,29.586,1.08E-05,1.23E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-05,1.23E-04,1.60E-03,0.00000
340.,29.412,1.08E-05,1.25E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-05,1.25E-04,1.63E-03,0.00000
342.,29.240,1.09E-05,1.27E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-05,1.27E-04,1.65E-03,0.00000
344.,29.070,1.09E-05,1.30E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-05,1.30E-04,1.67E-03,0.00000
346.,28.902,1.10E-05,1.32E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-05,1.32E-04,1.69E-03,0.00000
348.,28.736,1.11E-05,1.34E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E-05,1.34E-04,1.71E-03,0.00000
