*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
208.,48.077,5.70E-06,2.46E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.70E-06,2.46E-05,4.68E-04,0.00000
210.,47.619,5.77E-06,2.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.77E-06,2.55E-05,4.79E-04,0.00000
212.,47.170,5.85E-06,2.63E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.85E-06,2.63E-05,4.91E-04,0.00000
214.,46.729,5.92E-06,2.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.92E-06,2.71E-05,5.03E-04,0.00000
216.,46.296,6.00E-06,2.80E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E-06,2.80E-05,5.15E-04,0.00000
218.,45.872,6.07E-06,2.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.07E-06,2.89E-05,5.27E-04,0.00000
220.,45.455,6.15E-06,2.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.15E-06,2.98E-05,5.39E-04,0.00000
222.,45.045,6.22E-06,3.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.22E-06,3.07E-05,5.52E-04,0.00000
224.,44.643,6.30E-06,3.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.30E-06,3.16E-05,5.64E-04,0.00000
226.,44.248,6.37E-06,3.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.37E-06,3.25E-05,5.77E-04,0.00000
228.,43.860,6.44E-06,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.44E-06,3.35E-05,5.90E-04,0.00000
230.,43.478,6.52E-06,3.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.52E-06,3.45E-05,6.03E-04,0.00000
232.,43.103,6.59E-06,3.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.59E-06,3.55E-05,6.16E-04,0.00000
234.,42.735,6.67E-06,3.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.67E-06,3.65E-05,6.30E-04,0.00000
236.,42.373,6.74E-06,3.75E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.74E-06,3.75E-05,6.43E-04,0.00000
238.,42.017,6.81E-06,3.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.81E-06,3.86E-05,6.57E-04,0.00000
240.,41.667,6.88E-06,3.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.88E-06,3.96E-05,6.71E-04,0.00000
242.,41.322,6.96E-06,4.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.96E-06,4.07E-05,6.84E-04,0.00000
244.,40.984,7.03E-06,4.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.03E-06,4.19E-05,6.98E-04,0.00000
246.,40.650,7.10E-06,4.30E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.10E-06,4.30E-05,7.13E-04,0.00000
248.,40.323,7.17E-06,4.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.17E-06,4.41E-05,7.27E-04,0.00000
250.,40.000,7.25E-06,4.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.25E-06,4.53E-05,7.42E-04,0.00000
252.,39.683,7.32E-06,4.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.32E-06,4.65E-05,7.56E-04,0.00000
254.,39.370,7.39E-06,4.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-06,4.77E-05,7.71E-04,0.00000
256.,39.063,7.46E-06,4.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.46E-06,4.89E-05,7.86E-04,0.00000
258.,38.760,7.53E-06,5.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.53E-06,5.01E-05,8.01E-04,0.00000
260.,38.462,7.60E-06,5.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.60E-06,5.13E-05,8.16E-04,0.00000
262.,38.168,7.66E-06,5.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.66E-06,5.26E-05,8.31E-04,0.00000
264.,37.879,7.74E-06,5.39E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.74E-06,5.39E-05,8.47E-04,0.00000
266.,37.594,7.81E-06,5.52E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-06,5.52E-05,8.63E-04,0.00000
268.,37.313,7.87E-06,5.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.87E-06,5.65E-05,8.78E-04,0.00000
270.,37.037,7.94E-06,5.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.94E-06,5.79E-05,8.94E-04,0.00000
272.,36.765,8.01E-06,5.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.01E-06,5.92E-05,9.10E-04,0.00000
274.,36.496,8.08E-06,6.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.08E-06,6.07E-05,9.26E-04,0.00000
276.,36.232,8.15E-06,6.21E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.15E-06,6.21E-05,9.43E-04,0.00000
278.,35.971,8.21E-06,6.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.21E-06,6.35E-05,9.59E-04,0.00000
280.,35.714,8.28E-06,6.49E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.28E-06,6.49E-05,9.76E-04,0.00000
282.,35.461,8.35E-06,6.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.35E-06,6.64E-05,9.92E-04,0.00000
284.,35.211,8.41E-06,6.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.41E-06,6.79E-05,1.01E-03,0.00000
286.,34.965,8.48E-06,6.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.48E-06,6.93E-05,1.03E-03,0.00000
288.,34.722,8.54E-06,7.09E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.54E-06,7.09E-05,1.04E-03,0.00000
290.,34.483,8.61E-06,7.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.61E-06,7.24E-05,1.06E-03,0.00000
