wavelength, Radiance (T-5), Radiance (T), Radiance (T+5)
24.272,0.000194,0.000202,0.00021
24.155,0.000198,0.000206,0.000215
24.038,0.000202,0.000211,0.000219
23.923,0.000205,0.000214,0.000223
23.81,0.000208,0.000217,0.000226
23.697,0.00021,0.000219,0.000229
23.585,0.000212,0.000222,0.000231
23.474,0.000214,0.000223,0.000233
23.364,0.000213,0.000223,0.000232
23.256,0.000217,0.000226,0.000235
23.148,0.00022,0.000229,0.000239
23.041,0.000222,0.000232,0.000242
22.936,0.000226,0.000236,0.000246
22.831,0.000224,0.000234,0.000244
22.727,0.000227,0.000237,0.000247
22.624,0.000235,0.000246,0.000256
22.523,0.000237,0.000248,0.000259
22.422,0.000239,0.00025,0.000261
22.321,0.000234,0.000245,0.000256
22.222,0.000235,0.000246,0.000257
22.124,0.000245,0.000257,0.000268
22.026,0.00025,0.000262,0.000274
21.93,0.000254,0.000266,0.000278
21.834,0.000257,0.000269,0.000281
21.739,0.000258,0.00027,0.000282
21.645,0.000251,0.000263,0.000276
21.552,0.000238,0.000249,0.00026
21.459,0.000247,0.000258,0.00027
21.368,0.000265,0.000278,0.000291
21.277,0.000269,0.000282,0.000295
21.186,0.000275,0.000288,0.000302
21.097,0.000274,0.000287,0.0003
21.008,0.00026,0.000272,0.000285
20.921,0.000235,0.000246,0.000256
20.833,0.000243,0.000253,0.000264
20.747,0.000273,0.000286,0.000299
20.661,0.000287,0.000301,0.000315
20.576,0.000274,0.000288,0.000302
20.492,0.000239,0.000251,0.000263
20.408,0.000251,0.000263,0.000276
20.325,0.000287,0.000302,0.000318
20.243,0.000261,0.000274,0.000288
20.161,0.00021,0.000219,0.000227
20.08,0.00021,0.000218,0.000226
20.0,0.000262,0.000274,0.000287
19.92,0.000309,0.000325,0.000341
19.841,0.000311,0.000327,0.000343
19.763,0.000314,0.00033,0.000347
19.685,0.0003,0.000316,0.000331
19.608,0.000289,0.000305,0.000321
19.531,0.000271,0.000286,0.000301
19.455,0.000275,0.000291,0.000307
19.38,0.000325,0.000343,0.000361
19.305,0.00034,0.000357,0.000375
19.231,0.000322,0.000339,0.000357
19.157,0.000272,0.000287,0.000303
19.084,0.000294,0.00031,0.000326
19.011,0.000325,0.000342,0.00036
