Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
6/8/2019,10:53,10:55,clear sky,18.0,28.22,8.89,10.38,17.79,6.4,NaN,-37.5,-10.3,-9.1,41.2,41.6,44.1,44.7,
6/9/2019,11:10,11:15,clear sky,10.0,28.89,6.12,14.2,8.37,14.32,NaN,NaN,-17.1,-15.8,41.9,42.1,45.1,45.6,
6/10/2019,10:32,10:35,overcast,32.0,19.78,16.02,17.27,31.3,33.54,-15,-18.2,-2.5,0.7,33.5,33.8,34.8,36,
6/11/2019,10:40,10:35,clear sky,58.0,19.5,16.28,10.92,22.81,19.76,NaN,-38.8,-13.7,-12.8,35.1,35.1,38,37.2,
6/12/2019,19:11,19:15,overcast,12.0,30.39,10.76,12.2,16.22,13.78,NaN,-21.8,-4.3,-3,35.1,35.4,36.2,36.9,
6/13/2019,19:05,19:15,overcast,26.0,29.72,16.63,15.91,24.66,23.36,NaN,-8.5,-2,-2.1,32.7,33.2,34.4,34.5,
6/14/2019,11:01,10:55,clear sky,24.0,29.0,11.33,8.3,19.22,11.83,NaN,-36.6,-8.7,-6.6,41.2,44.1,44.3,44.7,
6/15/2019,11:02,10:55,clear sky,11.0,28.5,5.54,14.25,15.22,6.6,NaN,NaN,-17.3,-14.2,41.9,43.1,45.1,45.5,
6/16/2019,10:45,10:55,clear sky,20.0,27.5,17.89,18.82,10.61,12.14,NaN,-37.3,-10.8,-8.8,41.2,42.5,44,45.1,
6/17/2019,10:48,10:55,clear sky,27.0,26.39,20.87,17.13,11.73,11.5,NaN,-24.7,-6.2,-4.7,40.5,41.3,42.4,42.6,
6/18/2019,16:45,16:55,clear sky,22.0,26.72,15.04,6.91,12.43,13.69,NaN,-38.6,-12.2,-11.1,38.9,38.4,39.3,39.8,
6/19/2019,15:08,15:15,clear sky,11.0,32.28,15.16,11.23,11.13,10.45,NaN,-38.2,-9.7,-7.1,50,50.2,52.7,54.2,
6/20/2019,11:48,11:55,clear sky,10.0,31.5,10.11,9.28,7.89,7.25,NaN,-37.9,-9,-8.1,45.5,48.9,50.3,50.1,
6/21/2019,9:39,09:35,clear sky,13.0,24.61,7.31,5.37,13.51,9.92,NaN,NaN,-20,-18,34.3,35.1,35.9,36.8,
6/22/2019,16:50,16:55,clear sky,8.0,31.0,8.88,10.35,7.94,6.03,NaN,NaN,-14.6,-14.1,41.5,42,43,43.3,
6/23/2019,13:28,13:35,clear sky,15.0,27.11,10.57,4.73,11.34,9.89,NaN,NaN,-12.2,-12.2,50,49.8,52.7,53,
6/24/2019,18:05,18:15,clear sky,9.0,30.72,7.1,9.25,8.24,7.19,NaN,-35.4,-10.9,-12,38.5,39.1,41.6,42.3,
6/25/2019,18:38,18:35,clear sky,7.0,34.0,8.64,8.3,8.89,13.51,NaN,NaN,-12.4,-10.1,38.5,37.9,38.9,40.5,
6/26/2019,9:45,09:55,clear sky,18.0,28.89,10.19,17.08,20.36,20.16,NaN,-38,-7,-8.2,38.5,38.3,42.9,42.1,
6/27/2019,19:42,19:35,overcast,23.0,27.11,19.94,19.69,24.65,23.21,-9.8,-6.5,2.7,2.8,30.7,30.5,31.5,31.6,sprinkling
6/28/2019,8:48,08:55,clear sky,43.0,22.72,18.5,15.5,29.21,29.0,NaN,-27.6,-10.1,-9.7,28.9,28.9,30.3,30.5,
6/29/2019,10:05,10:15,clear sky,23.0,29.28,23.32,19.24,29.62,13.0,NaN,-29.4,-4.7,-3.8,40.9,41.1,43.7,43.6,
6/30/2019,10:43,10:35,clear sky,19.0,30.22,20.38,18.64,15.48,10.41,NaN,-25.7,-7.2,-5.9,41.4,41.2,43.3,43.6,
7/1/2019,18:20,18:15,overcast,19.0,30.89,22.42,24.32,14.91,20.13,-3,-14.5,4.6,4.7,37.3,37.6,38.3,38.8,
7/2/2019,11:14,11:15,clear sky,21.0,30.39,23.93,17.54,29.2,20.18,NaN,-32,-3.5,-1.9,45.8,46.5,49.7,50.1,
7/3/2019,10:26,10:35,clear sky,18.0,29.89,18.09,11.25,19.67,17.01,NaN,-36.1,-8.2,-7.8,42.2,43.6,45.8,45.7,
7/4/2019,16:46,16:55,clear sky,11.0,34.78,12.31,11.77,20.48,21.08,NaN,-32.9,-6.7,-5.6,48.9,50.3,52.3,53.2,
7/5/2019,9:22,09:15,clear sky,14.0,28.28,11.84,11.99,25.05,19.66,NaN,-39.8,-9.7,-9.8,35.5,36.5,40.1,38.3,
