*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
326.,30.675,9.91E-06,1.05E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.91E-06,1.05E-04,1.42E-03,0.00000
328.,30.488,9.97E-06,1.07E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.97E-06,1.07E-04,1.44E-03,0.00000
330.,30.303,1.00E-05,1.09E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-05,1.09E-04,1.46E-03,0.00000
332.,30.120,1.01E-05,1.11E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.11E-04,1.48E-03,0.00000
334.,29.940,1.01E-05,1.13E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-05,1.13E-04,1.50E-03,0.00000
336.,29.762,1.02E-05,1.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-05,1.15E-04,1.52E-03,0.00000
338.,29.586,1.03E-05,1.17E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.17E-04,1.54E-03,0.00000
340.,29.412,1.03E-05,1.19E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-05,1.19E-04,1.56E-03,0.00000
342.,29.240,1.04E-05,1.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.21E-04,1.58E-03,0.00000
344.,29.070,1.04E-05,1.23E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-05,1.23E-04,1.60E-03,0.00000
346.,28.902,1.05E-05,1.25E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.25E-04,1.62E-03,0.00000
348.,28.736,1.05E-05,1.27E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-05,1.27E-04,1.64E-03,0.00000
